Global chat from 2014-04-01 00:00:00 -07:00 to 2014-04-07 23:59:59 -07:00 (GMT-07:00) Pacific Time (US & Canada)	Global chat
29_1d8b3e04-af20-11e3-99ce-22000ad02fa9	ARAB_X0Y8QX9HGS	هلا
29_1d8b3e04-af20-11e3-99ce-22000ad02fa9	ARAB_X0Y8QX9HGS	شباب وين بعض العاب مثل ام صلال وخالد والباقين ووين بعض القبائل ما ظاهره عندي؟؟
29_a6be0903-b415-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	قبيله بومحمد  تطلب دعم الجيش
31_5701d048-ba52-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	hii
31_4cecd9d5-ba6d-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	هلل
29_5c67d076-b00b-11e3-99ce-22000ad02fa9	ARAB_X0Y8QX9HGS	هلا
29_b42694fa-b412-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	مرحبا
29_b42694fa-b412-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	ممكن سوال
29_b42694fa-b412-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	كيف احصل علي الؤلؤ 
31_ea66e16b-bab0-11e3-a92c-12313b09a242	ARAB_X0Y8QX9HGS	مرحبا فيكم 
29_79bdcf02-b08a-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	ياجماعة الخير 
29_79bdcf02-b08a-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	وينكم 
30_9b5c627f-b759-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	alisalloom
30_78fb4c1a-b6a2-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
29_fe201142-af38-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا
29_7bbffb77-aea2-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	سلام
31_ef1d73d9-ba40-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ها
30_9b5c627f-b759-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ali alsalloom
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
30_9b5c627f-b759-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	المنامة الصمود
30_e8ba24cd-b9a2-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام عليكم
29_545a433f-b0c6-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا
29_78ed765a-b0ea-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم
31_835afc5e-bb5c-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام
31_79f80c68-bb45-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	حو
30_3d7fd6a8-b840-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
29_512828fe-af78-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	حو
29_1cc361ae-b4ce-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	مرحبا
29_56d8a58e-b022-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	يامرحبا 
29_18c906c3-b0ce-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	اهلا وسهلا بكم ف قلعتي 
29_02ffe5e8-b19a-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم
29_4344b68d-ae83-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	 السلام عليكم 
29_4344b68d-ae83-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	جمعة مباركة عليكم وعلينة انشالله وأتمنة من الله لكم المغفرة والصح والعافية ولحدينسانة من دعائكم
29_4344b68d-ae83-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	والله يجزاكموخير
29_4da77c3b-b1ad-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	bored
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هللللا
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	طيب ردو
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ردو لا
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	خايفين
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هههههههههه
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اكيد بتخافو
30_c1374467-b8b6-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	لان ملكة الحرب هنا
31_2dcd6246-ba63-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ابي ادخل ب قبيله 
31_336a35ab-bb62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	لا الله الا الل
31_336a35ab-bb62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	الله محمد رسول الله
29_d8b10d86-b198-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	يامرحبا بالنشاما 
31_336a35ab-bb62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	راح نذبح الجيش الأسود
31_336a35ab-bb62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	واحنا مترابطين
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام عليكم
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	حد للمعركة
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	أسود عمان
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	سأل ايذ انا اناضميت الى قبيله اقدر احذف نفسي?
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	ردو
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ماعرف والله انا جديد ف هذي اللعبة
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	كيف اذا بغيت ادخل قبيلة
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	ماتقدر لازم تستاذن منهم 
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	الحين بقولك
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	خالص مب لازم اقولك
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ارجوك دخلني ف قبيلة
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	من الي عنده قبيله
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	???
29_87070816-b380-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام عليكم
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	وعليكم السلام
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	وينك يا خوي
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	الله ياهديك
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	الو
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	في احد قاعد يلعب
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	??????
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	ارحبو
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	مع السلامه
31_4e295f5c-bbee-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ارحبوو 
30_be48fb11-b677-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام
29_616b8e6b-b06c-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم
29_616b8e6b-b06c-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	بطولة افضل القبائل اللي يفوز يحصل على اللؤلؤ او المال؟؟
31_5d9fe623-bbdb-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	☺️
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا شباب كيفكم ممكن احد يضمني معاه
29_eb65b175-b400-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هَـُِhelloـُِلاّ 
29_eb65b175-b400-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	شْـًًٌـٌٍٍـshøـٌٍٍـًًٌو !? اسمك
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	damar
29_5a82e65e-b466-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ارجووووكم ساعدوني اريد قبيله تنضم معاااي قبيلتي اسمها البلوش ساعدوني جزاااكم الله خير 
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	احد يضمني معاه؟؟
31_50f9627e-bbfc-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ارحبووووووو
31_50f9627e-bbfc-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام عليكم
31_29880891-baa0-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام
30_71fb5631-b6a2-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	zq
29_dd9815f8-b0df-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	n
31_dd6bb9da-bb62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام عليكم
29_7a132986-af7c-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا
30_6e938d0a-b6ba-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اسود عمان
30_2df4ebad-b9bb-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	من أنتم ؟
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام عليكم
31_d24da112-bc35-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ويش شعب
30_df3618b2-b799-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	مرحبا
31_238463bf-bc5e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	احتاج الي مساعده
29_ed486597-aeb8-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	سلام عليكم
31_d7d69fa4-bc6d-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
29_d23fc894-b6b8-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اقو قبيله مدينه ال مره
29_d23fc894-b6b8-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	وحد عنده معراضه ههههههههههههه ياكلاب
31_1759bf6a-bc34-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	مرحبا
