UserId	Login	Logout	CreatedAt (PDT)	CreatedAt (UTC)
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 06:45:30	2014-11-11 07:22:26	2014-11-11 00:22:26	2014-11-11 07:22:26
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 07:46:22	2014-11-11 07:55:02	2014-11-11 00:55:02	2014-11-11 07:55:02
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 09:15:49	2014-11-11 09:37:34	2014-11-11 02:37:34	2014-11-11 09:37:34
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 09:38:11	2014-11-11 10:00:03	2014-11-11 03:00:03	2014-11-11 10:00:03
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 14:27:35	2014-11-11 14:56:59	2014-11-11 07:56:59	2014-11-11 14:56:59
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 14:57:01	2014-11-11 15:01:01	2014-11-11 08:01:00	2014-11-11 15:01:00
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 15:19:47	2014-11-11 15:25:09	2014-11-11 08:25:09	2014-11-11 15:25:09
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-11 22:00:29	2014-11-11 22:31:53	2014-11-11 15:31:53	2014-11-11 22:31:53
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 04:42:16	2014-11-12 05:04:09	2014-11-11 22:04:09	2014-11-12 05:04:09
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 05:04:16	2014-11-12 05:11:51	2014-11-11 22:11:51	2014-11-12 05:11:51
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 05:12:04	2014-11-12 05:32:51	2014-11-11 22:32:51	2014-11-12 05:32:51
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 05:32:56	2014-11-12 05:36:29	2014-11-11 22:36:28	2014-11-12 05:36:28
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 05:36:33	2014-11-12 05:43:24	2014-11-11 22:43:24	2014-11-12 05:43:24
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 05:43:30	2014-11-12 05:56:57	2014-11-11 22:56:57	2014-11-12 05:56:57
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 06:00:38	2014-11-12 06:00:38	2014-11-11 23:00:38	2014-11-12 06:00:38
31_cd68be95-1b51-11e4-ad8e-22000a4a0686	2014-11-12 06:04:23	2014-11-12 06:11:03	2014-11-11 23:11:03	2014-11-12 06:11:03
