ServerIp	CCU	CreatedAt (PDT)	CreatedAt (UTC)
54.75.238.163	1490	2014-10-19 17:00:21	2014-10-20 00:00:21
54.75.238.163	1469	2014-10-19 17:01:21	2014-10-20 00:01:21
54.75.238.163	1464	2014-10-19 17:02:21	2014-10-20 00:02:21
54.75.238.163	1465	2014-10-19 17:03:21	2014-10-20 00:03:21
54.75.238.163	1459	2014-10-19 17:04:51	2014-10-20 00:04:51
54.75.238.163	1443	2014-10-19 17:05:51	2014-10-20 00:05:51
54.75.238.163	1456	2014-10-19 17:07:21	2014-10-20 00:07:21
54.75.238.163	1449	2014-10-19 17:08:21	2014-10-20 00:08:21
54.75.238.163	1478	2014-10-19 17:09:21	2014-10-20 00:09:21
54.75.238.163	1445	2014-10-19 17:10:21	2014-10-20 00:10:21
54.75.238.163	1441	2014-10-19 17:11:21	2014-10-20 00:11:21
54.75.238.163	1442	2014-10-19 17:12:21	2014-10-20 00:12:21
54.75.238.163	1425	2014-10-19 17:13:21	2014-10-20 00:13:21
54.75.238.163	1409	2014-10-19 17:14:21	2014-10-20 00:14:21
54.75.238.163	1421	2014-10-19 17:15:21	2014-10-20 00:15:21
54.75.238.163	1405	2014-10-19 17:16:21	2014-10-20 00:16:21
54.75.238.163	1405	2014-10-19 17:17:51	2014-10-20 00:17:51
54.75.238.163	1420	2014-10-19 17:18:51	2014-10-20 00:18:51
54.75.238.163	1396	2014-10-19 17:19:51	2014-10-20 00:19:51
54.75.238.163	1369	2014-10-19 17:21:21	2014-10-20 00:21:21
54.75.238.163	1350	2014-10-19 17:22:21	2014-10-20 00:22:21
54.75.238.163	1343	2014-10-19 17:23:51	2014-10-20 00:23:51
54.75.238.163	1331	2014-10-19 17:24:51	2014-10-20 00:24:51
54.75.238.163	1329	2014-10-19 17:26:21	2014-10-20 00:26:21
54.75.238.163	1301	2014-10-19 17:27:21	2014-10-20 00:27:21
54.75.238.163	1297	2014-10-19 17:28:21	2014-10-20 00:28:21
54.75.238.163	1278	2014-10-19 17:29:51	2014-10-20 00:29:51
54.75.238.163	1267	2014-10-19 17:30:51	2014-10-20 00:30:51
54.75.238.163	1269	2014-10-19 17:32:21	2014-10-20 00:32:21
54.75.238.163	1283	2014-10-19 17:33:21	2014-10-20 00:33:21
54.75.238.163	1293	2014-10-19 17:34:21	2014-10-20 00:34:21
54.75.238.163	1317	2014-10-19 17:35:51	2014-10-20 00:35:51
54.75.238.163	1308	2014-10-19 17:36:51	2014-10-20 00:36:51
54.75.238.163	1273	2014-10-19 17:37:51	2014-10-20 00:37:51
54.75.238.163	1264	2014-10-19 17:39:21	2014-10-20 00:39:21
54.75.238.163	1240	2014-10-19 17:40:21	2014-10-20 00:40:21
54.75.238.163	1235	2014-10-19 17:41:21	2014-10-20 00:41:21
54.75.238.163	1233	2014-10-19 17:42:51	2014-10-20 00:42:51
54.75.238.163	1256	2014-10-19 17:43:51	2014-10-20 00:43:51
54.75.238.163	1236	2014-10-19 17:45:21	2014-10-20 00:45:21
54.75.238.163	1258	2014-10-19 17:46:21	2014-10-20 00:46:21
54.75.238.163	1276	2014-10-19 17:47:21	2014-10-20 00:47:21
54.75.238.163	1237	2014-10-19 17:48:51	2014-10-20 00:48:51
54.75.238.163	1220	2014-10-19 17:49:51	2014-10-20 00:49:51
54.75.238.163	1232	2014-10-19 17:50:51	2014-10-20 00:50:51
54.75.238.163	1202	2014-10-19 17:51:51	2014-10-20 00:51:51
54.75.238.163	1190	2014-10-19 17:52:51	2014-10-20 00:52:51
54.75.238.163	1180	2014-10-19 17:53:51	2014-10-20 00:53:51
54.75.238.163	1165	2014-10-19 17:54:51	2014-10-20 00:54:51
54.75.238.163	1159	2014-10-19 17:55:51	2014-10-20 00:55:51
54.75.238.163	1160	2014-10-19 17:57:21	2014-10-20 00:57:21
54.75.238.163	1165	2014-10-19 17:58:21	2014-10-20 00:58:21
54.75.238.163	1179	2014-10-19 17:59:21	2014-10-20 00:59:21
54.75.238.163	1183	2014-10-19 18:00:21	2014-10-20 01:00:21
54.75.238.163	1217	2014-10-19 18:01:21	2014-10-20 01:01:21
54.75.238.163	1217	2014-10-19 18:02:21	2014-10-20 01:02:21
54.75.238.163	1207	2014-10-19 18:03:21	2014-10-20 01:03:21
54.75.238.163	1202	2014-10-19 18:04:21	2014-10-20 01:04:21
54.75.238.163	1202	2014-10-19 18:05:21	2014-10-20 01:05:21
54.75.238.163	1175	2014-10-19 18:06:22	2014-10-20 01:06:22
54.75.238.163	1174	2014-10-19 18:07:22	2014-10-20 01:07:22
54.75.238.163	1187	2014-10-19 18:08:22	2014-10-20 01:08:22
54.75.238.163	1165	2014-10-19 18:09:22	2014-10-20 01:09:22
54.75.238.163	1166	2014-10-19 18:10:22	2014-10-20 01:10:22
54.75.238.163	1162	2014-10-19 18:11:22	2014-10-20 01:11:22
54.75.238.163	1173	2014-10-19 18:12:22	2014-10-20 01:12:22
54.75.238.163	1172	2014-10-19 18:13:22	2014-10-20 01:13:22
54.75.238.163	1176	2014-10-19 18:14:22	2014-10-20 01:14:22
54.75.238.163	1165	2014-10-19 18:15:22	2014-10-20 01:15:22
54.75.238.163	1173	2014-10-19 18:16:22	2014-10-20 01:16:22
54.75.238.163	1152	2014-10-19 18:17:22	2014-10-20 01:17:22
54.75.238.163	1127	2014-10-19 18:18:52	2014-10-20 01:18:52
