ServerIp	CCU	CreatedAt (PDT)	CreatedAt (UTC)
54.75.238.163	257	2014-07-31 10:11:15	2014-07-31 17:11:15
54.75.238.163	256	2014-07-31 10:12:15	2014-07-31 17:12:15
54.75.238.163	264	2014-07-31 10:13:15	2014-07-31 17:13:15
54.75.238.163	280	2014-07-31 10:14:15	2014-07-31 17:14:15
54.75.238.163	289	2014-07-31 10:15:15	2014-07-31 17:15:15
54.75.238.163	270	2014-07-31 10:16:15	2014-07-31 17:16:15
54.75.238.163	261	2014-07-31 10:17:15	2014-07-31 17:17:15
54.75.238.163	262	2014-07-31 10:18:15	2014-07-31 17:18:15
54.75.238.163	259	2014-07-31 10:19:45	2014-07-31 17:19:45
54.75.238.163	253	2014-07-31 10:20:45	2014-07-31 17:20:45
54.75.238.163	255	2014-07-31 10:22:15	2014-07-31 17:22:15
54.75.238.163	259	2014-07-31 10:23:15	2014-07-31 17:23:15
54.75.238.163	255	2014-07-31 10:24:15	2014-07-31 17:24:15
54.75.238.163	269	2014-07-31 10:25:15	2014-07-31 17:25:15
54.75.238.163	257	2014-07-31 10:26:45	2014-07-31 17:26:45
54.75.238.163	253	2014-07-31 10:27:45	2014-07-31 17:27:45
54.75.238.163	258	2014-07-31 10:29:15	2014-07-31 17:29:15
54.75.238.163	258	2014-07-31 10:30:15	2014-07-31 17:30:15
54.75.238.163	254	2014-07-31 10:31:15	2014-07-31 17:31:15
54.75.238.163	263	2014-07-31 10:32:45	2014-07-31 17:32:45
54.75.238.163	265	2014-07-31 10:34:15	2014-07-31 17:34:15
54.75.238.163	264	2014-07-31 10:35:15	2014-07-31 17:35:15
54.75.238.163	268	2014-07-31 10:36:15	2014-07-31 17:36:15
54.75.238.163	277	2014-07-31 10:37:15	2014-07-31 17:37:15
54.75.238.163	282	2014-07-31 10:38:15	2014-07-31 17:38:15
54.75.238.163	291	2014-07-31 10:39:15	2014-07-31 17:39:15
54.75.238.163	310	2014-07-31 10:40:45	2014-07-31 17:40:45
54.75.238.163	307	2014-07-31 10:41:45	2014-07-31 17:41:45
54.75.238.163	300	2014-07-31 10:42:45	2014-07-31 17:42:45
54.75.238.163	314	2014-07-31 10:44:15	2014-07-31 17:44:15
54.75.238.163	302	2014-07-31 10:45:15	2014-07-31 17:45:15
54.75.238.163	285	2014-07-31 10:46:15	2014-07-31 17:46:15
54.75.238.163	290	2014-07-31 10:47:15	2014-07-31 17:47:15
54.75.238.163	288	2014-07-31 10:48:15	2014-07-31 17:48:15
54.75.238.163	285	2014-07-31 10:49:15	2014-07-31 17:49:15
54.75.238.163	278	2014-07-31 10:50:15	2014-07-31 17:50:15
54.75.238.163	280	2014-07-31 10:51:15	2014-07-31 17:51:15
54.75.238.163	294	2014-07-31 10:52:15	2014-07-31 17:52:15
54.75.238.163	301	2014-07-31 10:53:45	2014-07-31 17:53:45
54.75.238.163	306	2014-07-31 10:54:45	2014-07-31 17:54:45
54.75.238.163	316	2014-07-31 10:55:45	2014-07-31 17:55:45
54.75.238.163	312	2014-07-31 10:57:15	2014-07-31 17:57:15
54.75.238.163	304	2014-07-31 10:58:15	2014-07-31 17:58:15
54.75.238.163	311	2014-07-31 10:59:15	2014-07-31 17:59:15
54.75.238.163	304	2014-07-31 11:00:45	2014-07-31 18:00:45
54.75.238.163	296	2014-07-31 11:01:45	2014-07-31 18:01:45
54.75.238.163	298	2014-07-31 11:02:45	2014-07-31 18:02:45
54.75.238.163	298	2014-07-31 11:04:15	2014-07-31 18:04:15
54.75.238.163	306	2014-07-31 11:05:15	2014-07-31 18:05:15
54.75.238.163	319	2014-07-31 11:06:15	2014-07-31 18:06:15
54.75.238.163	320	2014-07-31 11:07:45	2014-07-31 18:07:45
54.75.238.163	305	2014-07-31 11:08:45	2014-07-31 18:08:45
54.75.238.163	304	2014-07-31 11:09:45	2014-07-31 18:09:45
54.75.238.163	310	2014-07-31 11:11:15	2014-07-31 18:11:15
54.75.238.163	305	2014-07-31 11:12:15	2014-07-31 18:12:15
54.75.238.163	308	2014-07-31 11:13:15	2014-07-31 18:13:15
54.75.238.163	309	2014-07-31 11:14:45	2014-07-31 18:14:45
54.75.238.163	303	2014-07-31 11:15:45	2014-07-31 18:15:45
54.75.238.163	296	2014-07-31 11:17:15	2014-07-31 18:17:15
54.75.238.163	303	2014-07-31 11:18:15	2014-07-31 18:18:15
54.75.238.163	303	2014-07-31 11:19:15	2014-07-31 18:19:15
54.75.238.163	298	2014-07-31 11:20:15	2014-07-31 18:20:15
54.75.238.163	305	2014-07-31 11:21:15	2014-07-31 18:21:15
54.75.238.163	298	2014-07-31 11:22:15	2014-07-31 18:22:15
54.75.238.163	319	2014-07-31 11:23:15	2014-07-31 18:23:15
54.75.238.163	312	2014-07-31 11:24:15	2014-07-31 18:24:15
54.75.238.163	313	2014-07-31 11:25:15	2014-07-31 18:25:15
54.75.238.163	318	2014-07-31 11:26:45	2014-07-31 18:26:45
54.75.238.163	317	2014-07-31 11:27:45	2014-07-31 18:27:45
54.75.238.163	311	2014-07-31 11:28:45	2014-07-31 18:28:45
54.75.238.163	309	2014-07-31 11:30:16	2014-07-31 18:30:16
54.75.238.163	309	2014-07-31 11:31:15	2014-07-31 18:31:15
54.75.238.163	317	2014-07-31 11:32:15	2014-07-31 18:32:15
54.75.238.163	296	2014-07-31 11:33:45	2014-07-31 18:33:45
54.75.238.163	307	2014-07-31 11:34:45	2014-07-31 18:34:45
54.75.238.163	307	2014-07-31 11:35:45	2014-07-31 18:35:45
54.75.238.163	303	2014-07-31 11:37:16	2014-07-31 18:37:16
54.75.238.163	310	2014-07-31 11:38:15	2014-07-31 18:38:15
54.75.238.163	319	2014-07-31 11:39:15	2014-07-31 18:39:15
54.75.238.163	321	2014-07-31 11:40:45	2014-07-31 18:40:45
54.75.238.163	307	2014-07-31 11:41:45	2014-07-31 18:41:45
54.75.238.163	315	2014-07-31 11:42:45	2014-07-31 18:42:45
54.75.238.163	310	2014-07-31 11:43:45	2014-07-31 18:43:45
54.75.238.163	314	2014-07-31 11:45:15	2014-07-31 18:45:15
54.75.238.163	323	2014-07-31 11:46:15	2014-07-31 18:46:15
54.75.238.163	334	2014-07-31 11:47:16	2014-07-31 18:47:16
54.75.238.163	332	2014-07-31 11:48:15	2014-07-31 18:48:15
54.75.238.163	343	2014-07-31 11:49:15	2014-07-31 18:49:15
54.75.238.163	353	2014-07-31 11:50:15	2014-07-31 18:50:15
54.75.238.163	351	2014-07-31 11:51:45	2014-07-31 18:51:45
54.75.238.163	348	2014-07-31 11:53:15	2014-07-31 18:53:15
54.75.238.163	339	2014-07-31 11:54:15	2014-07-31 18:54:15
54.75.238.163	341	2014-07-31 11:55:15	2014-07-31 18:55:15
54.75.238.163	345	2014-07-31 11:56:15	2014-07-31 18:56:15
54.75.238.163	350	2014-07-31 11:57:16	2014-07-31 18:57:16
54.75.238.163	346	2014-07-31 11:58:46	2014-07-31 18:58:46
54.75.238.163	354	2014-07-31 11:59:46	2014-07-31 18:59:46
54.75.238.163	349	2014-07-31 12:01:16	2014-07-31 19:01:16
54.75.238.163	337	2014-07-31 12:02:16	2014-07-31 19:02:16
54.75.238.163	342	2014-07-31 12:03:16	2014-07-31 19:03:16
54.75.238.163	342	2014-07-31 12:04:16	2014-07-31 19:04:16
54.75.238.163	350	2014-07-31 12:05:16	2014-07-31 19:05:16
54.75.238.163	344	2014-07-31 12:06:16	2014-07-31 19:06:16
54.75.238.163	352	2014-07-31 12:07:16	2014-07-31 19:07:16
54.75.238.163	347	2014-07-31 12:08:16	2014-07-31 19:08:16
54.75.238.163	371	2014-07-31 12:09:16	2014-07-31 19:09:16
54.75.238.163	367	2014-07-31 12:10:16	2014-07-31 19:10:16
