ServerIp	CCU	CreatedAt (in PT time)
54.75.238.163	1589	2014-09-07 00:02:12
54.75.238.163	1638	2014-09-07 00:04:33
54.75.238.163	1645	2014-09-07 00:06:55
54.75.238.163	1656	2014-09-07 00:10:44
54.75.238.163	1653	2014-09-07 00:13:15
54.75.238.163	1592	2014-09-07 00:15:52
54.75.238.163	1572	2014-09-07 00:18:26
54.75.238.163	1596	2014-09-07 00:21:08
54.75.238.163	1624	2014-09-07 00:25:15
54.75.238.163	1652	2014-09-07 00:28:05
54.75.238.163	1707	2014-09-07 00:30:51
54.75.238.163	1760	2014-09-07 00:33:18
54.75.238.163	1739	2014-09-07 00:35:43
54.75.238.163	1721	2014-09-07 00:38:05
54.75.238.163	1748	2014-09-07 00:41:55
54.75.238.163	1751	2014-09-07 00:44:27
54.75.238.163	1772	2014-09-07 00:48:38
54.75.238.163	1742	2014-09-07 00:51:19
54.75.238.163	1804	2014-09-07 00:54:07
54.75.238.163	1820	2014-09-07 00:56:49
54.75.238.163	1808	2014-09-07 00:59:41
54.75.238.163	1810	2014-09-07 01:02:35
54.75.238.163	1810	2014-09-07 01:05:05
54.75.238.163	1831	2014-09-07 01:07:30
54.75.238.163	1819	2014-09-07 01:09:58
54.75.238.163	1809	2014-09-07 01:12:35
54.75.238.163	1835	2014-09-07 01:15:06
54.75.238.163	1819	2014-09-07 01:19:20
54.75.238.163	1552	2014-09-07 01:25:46
54.75.238.163	1793	2014-09-07 01:28:32
54.75.238.163	1851	2014-09-07 01:31:14
54.75.238.163	1876	2014-09-07 01:34:11
54.75.238.163	1891	2014-09-07 01:36:35
54.75.238.163	1857	2014-09-07 01:39:11
54.75.238.163	1894	2014-09-07 01:41:44
54.75.238.163	1910	2014-09-07 01:44:23
54.75.238.163	1955	2014-09-07 01:46:57
54.75.238.163	1986	2014-09-07 01:49:51
54.75.238.163	1963	2014-09-07 01:52:32
54.75.238.163	2024	2014-09-07 01:55:27
54.75.238.163	2000	2014-09-07 02:00:02
54.75.238.163	2093	2014-09-07 02:03:06
54.75.238.163	2093	2014-09-07 02:06:05
54.75.238.163	2089	2014-09-07 02:08:40
54.75.238.163	2138	2014-09-07 02:11:11
54.75.238.163	2149	2014-09-07 02:13:54
54.75.238.163	2155	2014-09-07 02:17:57
54.75.238.163	2196	2014-09-07 02:20:46
54.75.238.163	2185	2014-09-07 02:25:11
54.75.238.163	2232	2014-09-07 02:28:08
54.75.238.163	2273	2014-09-07 02:31:00
54.75.238.163	2304	2014-09-07 02:34:01
54.75.238.163	2380	2014-09-07 02:37:09
54.75.238.163	2403	2014-09-07 02:39:48
54.75.238.163	2413	2014-09-07 02:42:22
54.75.238.163	2437	2014-09-07 02:45:09
54.75.238.163	2475	2014-09-07 02:47:51
54.75.238.163	2523	2014-09-07 02:50:43
54.75.238.163	2587	2014-09-07 02:53:33
54.75.238.163	2620	2014-09-07 02:56:34
54.75.238.163	2644	2014-09-07 02:59:31
54.75.238.163	2549	2014-09-07 03:04:28
54.75.238.163	2668	2014-09-07 03:07:31
54.75.238.163	2783	2014-09-07 03:10:15
54.75.238.163	2817	2014-09-07 03:14:22
54.75.238.163	2802	2014-09-07 03:17:15
54.75.238.163	2784	2014-09-07 03:20:02
