userId	UserName	Room name	Chat messages	Time (PT)	Time (UTC)
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'راقد محد قومني	2014-07-21 02:01:41	2014-07-21 09:01:41
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'انتا بحريني	2014-07-21 17:15:47	2014-07-22 00:15:47
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'اقوم صبح 	2014-07-21 02:01:51	2014-07-21 09:01:51
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'حمدالله	2014-07-21 17:16:05	2014-07-22 00:16:05
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا اصوم نص يوم	2014-07-21 02:01:57	2014-07-21 09:01:57
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'لا	2014-07-21 17:16:07	2014-07-22 00:16:07
31_8203ad87-0942-11e4-b281-22000ad2b690	مهند الفضل	ARAB_TQCWEPLPBA	'سلام عليكم	2014-07-20 17:01:24	2014-07-21 00:01:24
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'ابشرب ماء يقولون لا اذن من اولى	2014-07-21 02:02:06	2014-07-21 09:02:06
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'دوم يارب	2014-07-21 17:16:15	2014-07-22 00:16:15
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'وعليكم سلام	2014-07-20 17:03:35	2014-07-21 00:03:35
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'ههههههه حبيبي ما في احد يصوم يومين انت لو تقعد ثلاث ايام مت	2014-07-21 02:02:07	2014-07-21 09:02:07
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'انت بحريني	2014-07-21 17:16:19	2014-07-22 00:16:19
31_74b4ee7c-ef32-11e3-b281-22000ad2b690	_XKAWTHAR	ARAB_TQCWEPLPBA	'j	2014-07-20 17:11:09	2014-07-21 00:11:09
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'راقد	2014-07-21 02:02:21	2014-07-21 09:02:21
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'هي	2014-07-21 17:16:25	2014-07-22 00:16:25
31_9f10f555-0b79-11e4-b281-22000ad2b690	ابو يحيى	ARAB_TQCWEPLPBA	'السلام عليكم	2014-07-20 17:15:23	2014-07-21 00:15:23
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'هههههههه على الجبه	2014-07-21 02:02:28	2014-07-21 09:02:28
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'انت شنو	2014-07-21 17:16:34	2014-07-22 00:16:34
31_698a2fe7-105f-11e4-b281-22000ad2b690	BSO0OLY_KSA	ARAB_TQCWEPLPBA	'الو	2014-07-20 17:18:07	2014-07-21 00:18:07
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا اخوي 3boodqtr ما عنده ولا خنجر	2014-07-21 02:03:16	2014-07-21 09:03:16
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'عماني	2014-07-21 17:16:44	2014-07-22 00:16:44
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'وعليكم سلام	2014-07-20 17:21:24	2014-07-21 00:21:24
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'هههههه بلاه زلابه	2014-07-21 02:03:38	2014-07-21 09:03:38
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'شو عمرك	2014-07-21 17:17:06	2014-07-22 00:17:06
31_5f1bb899-104b-11e4-b281-22000ad2b690	ZIZOU	ARAB_TQCWEPLPBA	'هلا	2014-07-20 17:23:08	2014-07-21 00:23:08
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'خناجر ماتهم	2014-07-21 02:03:39	2014-07-21 09:03:39
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'انا ٨	2014-07-21 17:17:23	2014-07-22 00:17:23
31_d7b26b72-0c6b-11e4-b281-22000ad2b690	AMOODY2017_عميد	ARAB_TQCWEPLPBA	'salam 3lykomm_	2014-07-20 17:46:46	2014-07-21 00:46:46
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'انا الكلان حقي ماخذ المركز الرابع ع اللعبه 	2014-07-21 02:04:05	2014-07-21 09:04:05
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'عمري ٢٠	2014-07-21 17:17:56	2014-07-22 00:17:56
31_e901b0d4-0f59-11e4-b281-22000ad2b690	G2 IN	ARAB_TQCWEPLPBA	'hello	2014-07-20 17:47:48	2014-07-21 00:47:48
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا كان عندي ١٠٣ خنجر بعدين في كلاب حاربوني	2014-07-21 02:04:17	2014-07-21 09:04:17
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'اوكي	2014-07-21 17:18:06	2014-07-22 00:18:06
31_bd4d4d61-0fad-11e4-b281-22000ad2b690	العربي	ARAB_TQCWEPLPBA	'هلا	2014-07-20 17:52:11	2014-07-21 00:52:11
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'من زلابه	2014-07-21 02:04:34	2014-07-21 09:04:34
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'اي ديره	2014-07-21 17:18:23	2014-07-22 00:18:23
