userId	User Name	Clan Id	Chat messages	Time (PT)	Time (UTC)
31_63961c9e-0ffa-11e4-b281-22000ad2b690	منذر الملحم	29_24	'السلام عليكم	2014-07-21 08:22:12	2014-07-21 15:22:12
31_1e7b3327-0e13-11e4-b281-22000ad2b690	DNGR	29_31	'السلام	2014-07-21 12:51:56	2014-07-21 19:51:56
31_886e7598-fd27-11e3-b281-22000ad2b690	M7MD_AL	29_4	'ادعموني عمالقه	2014-07-21 07:07:39	2014-07-21 14:07:39
31_dc725cbf-0e8e-11e4-b281-22000ad2b690	ثامر الجهني	29_4	'هلا	2014-07-21 15:59:14	2014-07-21 22:59:14
31_a9e733db-016e-11e4-b281-22000ad2b690	KILLER07	29_4	'سالم404 اكتب زي الناس	2014-07-20 23:02:02	2014-07-21 06:02:02
31_a9e733db-016e-11e4-b281-22000ad2b690	KILLER07	29_4	'سالم 	2014-07-20 23:02:10	2014-07-21 06:02:10
31_2d9aed8f-0561-11e4-b281-22000ad2b690	SAMAR	29_46	'سلام	2014-07-21 01:44:43	2014-07-21 08:44:43
31_6f377a54-0c59-11e4-b281-22000ad2b690	الرياشي	29_46	'اٍُلسّلاٍْمّےُ.عًلٍّيكْمٍےُ.ورّحٍمْـٍُﮧ.اللّـﮧ.وًبٍرّكًاٍتُـٍّه  	2014-07-21 02:01:57	2014-07-21 09:01:57
31_868e5fb0-e69d-11e3-b281-22000ad2b690	الدولة حمران ال	30_43	'شباب ابي دعم	2014-07-21 09:40:55	2014-07-21 16:40:55
31_868e5fb0-e69d-11e3-b281-22000ad2b690	الدولة حمران ال	30_43	'الوووو	2014-07-21 15:42:16	2014-07-21 22:42:16
31_868e5fb0-e69d-11e3-b281-22000ad2b690	الدولة حمران ال	30_43	'السلا عليكم	2014-07-21 15:42:26	2014-07-21 22:42:26
31_868e5fb0-e69d-11e3-b281-22000ad2b690	الدولة حمران ال	30_43	'شباب	2014-07-21 15:42:29	2014-07-21 22:42:29
29_815d3691-b1c9-11e3-99ce-22000ad02fa9	البراري	31_11	'تقبل الله صيامكم.	2014-07-21 08:30:29	2014-07-21 15:30:29
29_815d3691-b1c9-11e3-99ce-22000ad02fa9	البراري	31_11	':)	2014-07-21 08:30:39	2014-07-21 15:30:39
31_b47eccab-0795-11e4-b281-22000ad2b690	الجواهر	31_11	'تمام 	2014-07-20 17:01:04	2014-07-21 00:01:04
29_815d3691-b1c9-11e3-99ce-22000ad02fa9	البراري	31_11	'وينكم حطينكم على الصامت 	2014-07-21 08:31:07	2014-07-21 15:31:07
31_b47eccab-0795-11e4-b281-22000ad2b690	الجواهر	31_11	'في الوقت الحالي ماعندي شي 	2014-07-20 17:01:41	2014-07-21 00:01:41
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'مرححبآ البراري	2014-07-21 08:54:24	2014-07-21 15:54:24
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'منى ومنك صالح الاعمال 	2014-07-21 08:54:29	2014-07-21 15:54:29
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'السلام عليكم 	2014-07-21 08:56:19	2014-07-21 15:56:19
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'وعليكم السسلام 	2014-07-21 08:56:44	2014-07-21 15:56:44
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'كيف الحال	2014-07-21 08:57:20	2014-07-21 15:57:20
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'الحين قاعد ادرب عشان بهاجم اول ماخلص بادربلك 	2014-07-21 08:57:23	2014-07-21 15:57:23
29_815d3691-b1c9-11e3-99ce-22000ad02fa9	البراري	31_11	'تم الدعم يالغشامية	2014-07-20 17:06:29	2014-07-21 00:06:29
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'طيب 	2014-07-21 08:57:33	2014-07-21 15:57:33
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'انت شخبارك !	2014-07-21 08:57:44	2014-07-21 15:57:44
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'دووووم ان شاء الله	2014-07-21 08:57:48	2014-07-21 15:57:48
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'وياك 	2014-07-21 08:57:54	2014-07-21 15:57:54
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'شكرا ام قبرين	2014-07-21 08:58:14	2014-07-21 15:58:14
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'عفوا 	2014-07-21 08:58:32	2014-07-21 15:58:32
