Note	Type	Level	Build Cost Elixir	Build Cost Gold	Build Cost Gem	Build Time (minutes)	Experience Gained	Capacity	Production Rate	Hit Points	Town Hall level Required	Boost Cost (gems)	Max Level	Object Type	Collectable point	PrefabName	DisplayName	NumTileOneSide	HasBase
treasury	13	1	190	0	0	1	7	625	250	400	1	0	11	1	6	Treasury	Treasury	3	1
treasury	13	2	375	0	0	5	17	1250	500	450	1	0	11	1	15	Treasury	Treasury	3	1
treasury	13	3	875	0	0	15	30	1875	750	500	2	0	11	1	25	Treasury	Treasury	3	1
treasury	13	4	1750	0	0	60	60	3125	1000	550	2	0	11	1	40	Treasury	Treasury	3	1
treasury	13	5	3750	0	0	120	84	12500	1250	590	3	4	11	1	60	Treasury	Treasury	3	1
treasury	13	6	8750	0	0	360	146	25000	1625	610	3	5	11	1	100	Treasury	Treasury	3	1
treasury	13	7	17500	0	0	720	207	37500	2000	630	4	6	11	1	160	Treasury	Treasury	3	1
treasury	13	8	35000	0	0	1440	293	62500	2375	660	4	7	11	1	220	Treasury	Treasury	3	1
treasury	13	9	70000	0	0	2880	415	93750	2750	680	5	8	11	1	300	Treasury	Treasury	3	1
treasury	13	10	105000	0	0	4320	509	125000	3125	710	5	9	11	1	400	Treasury	Treasury	3	1
treasury	13	11	210000	0	0	5760	587	187500	3750	750	7	11	11	1	500	Treasury	Treasury	3	1
waterwell	14	1	0	190	0	1	7	625	250	400	1	0	11	1	6	Well	Well	3	1
waterwell	14	2	0	375	0	5	17	1250	500	450	1	0	11	1	15	Well	Well	3	1
waterwell	14	3	0	875	0	15	30	1875	750	500	2	0	11	1	25	Well	Well	3	1
waterwell	14	4	0	1750	0	60	60	3125	1000	550	2	0	11	1	40	Well	Well	3	1
waterwell	14	5	0	4375	0	120	120	12500	1250	590	3	4	11	1	60	Well	Well	3	1
waterwell	14	6	0	8750	0	360	207	25000	1625	610	3	5	11	1	100	Well	Well	3	1
waterwell	14	7	0	17500	0	720	293	37500	2000	630	4	6	11	1	160	Well	Well	3	1
waterwell	14	8	0	35000	0	1440	415	62500	2375	660	4	7	11	1	220	Well	Well	3	1
waterwell	14	9	0	70000	0	2880	509	93750	2750	680	5	8	11	1	300	Well	Well	3	1
waterwell	14	10	0	105000	0	4320	587	125000	3125	710	5	9	11	1	400	Well	Well	3	1
waterwell	14	11	0	210000	0	5760	657	187500	3750	750	7	11	11	1	500	Well	Well	3	1
oilderrick	15	1	1250000	0	0	1440	293	150	25	400	8	7	6	1	1	OilDerrick	Oil Derrick	3	1
oilderrick	15	2	1875000	0	0	2880	415	300	40	480	8	10	6	1	1	OilDerrick	Oil Derrick	3	1
oilderrick	15	3	2500000	0	0	4320	509	565	55	580	8	15	6	1	1	OilDerrick	Oil Derrick	3	1
oilderrick	15	4	3750000	0	0	5760	587	900	75	690	9	20	6	1	1	OilDerrick	Oil Derrick	3	1
oilderrick	15	5	5000000	0	0	8640	720	1400	100	830	9	27	6	1	1	OilDerrick	Oil Derrick	3	1
oilderrick	15	6	6250000	0	0	11520	831	2000	125	1000	9	34	6	1	1	OilDerrick	Oil Derrick	3	1
goldchest	16	1	375	0	0	15	30	1875	0	400	1	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	2	940	0	0	30	42	3750	0	600	2	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	3	1875	0	0	60	60	7500	0	800	2	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	4	3750	0	0	120	84	15000	0	1000	3	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	5	7500	0	0	180	103	31250	0	1200	3	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	6	15000	0	0	240	120	62500	0	1500	3	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	7	31250	0	0	360	146	125000	0	1650	4	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	8	62500	0	0	480	169	312500	0	1740	4	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	9	125000	0	0	720	207	625000	0	1820	5	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	10	312500	0	0	1440	293	1250000	0	1920	6	0	11	1	0	GoldChest	Gold Chest	3	1
goldchest	16	11	625000	0	0	2880	415	2500000	0	2016	7	0	11	1	0	GoldChest	Gold Chest	3	1
waterjug	17	1	0	375	0	15	30	1875	0	400	1	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	2	0	940	0	30	42	3750	0	600	2	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	3	0	1875	0	60	60	7500	0	800	2	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	4	0	3750	0	120	84	15000	0	1000	3	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	5	0	7500	0	180	103	31250	0	1200	3	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	6	0	15000	0	240	120	62500	0	1500	3	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	7	0	31250	0	360	146	125000	0	1650	4	0	11	1	0	WaterJug	Water Jug	3	1
