Type	Level	Damage per second	Damage per shot	Hitpoints	Cost Gold	Cost Dark Elixir	Sell Gold	Sell Dark Elixir	Upgrade Time	Experience Gained	Town Hall Level Required	Object Type	Cost To Load	PrefabName	DisplayName	NumTileOneSide	HasBase
0	1	9	7	400	315	0	0	0	1	7	1	4	0	JavelinLauncher	Javelin Launcher	3	1
0	2	11	9	450	1250	0	0	0	15	17	1	4	0	JavelinLauncher	Javelin Launcher	3	1
0	3	15	12	500	5000	0	0	0	45	51	2	4	0	JavelinLauncher	Javelin Launcher	3	1
0	4	19	15	550	20000	0	0	0	120	84	3	4	0	JavelinLauncher	Javelin Launcher	3	1
0	5	25	20	590	62500	0	0	0	360	146	4	4	0	JavelinLauncher	Javelin Launcher	3	1
0	6	31	25	610	125000	0	0	0	720	207	5	4	0	JavelinLauncher	Javelin Launcher	3	1
0	7	40	32	630	250000	0	0	0	1440	293	6	4	0	JavelinLauncher	Javelin Launcher	3	1
0	8	48	38	660	500000	0	0	0	2880	415	7	4	0	JavelinLauncher	Javelin Launcher	3	1
0	9	56	45	690	1000000	0	0	0	4320	509	8	4	0	JavelinLauncher	Javelin Launcher	3	1
0	10	65	52	750	2000000	0	0	0	5760	587	8	4	0	JavelinLauncher	Javelin Launcher	3	1
0	11	75	60	900	4000000	0	0	0	7200	657	9	4	0	JavelinLauncher	Javelin Launcher	3	1
1	1	11	11	400	1250	0	0	0	15	30	2	4	0	ArchersNest	Archers Nest	3	1
1	2	15	15	450	2500	0	0	0	30	42	2	4	0	ArchersNest	Archers Nest	3	1
1	3	19	19	500	6250	0	0	0	45	51	3	4	0	ArchersNest	Archers Nest	3	1
1	4	25	25	550	25000	0	0	0	240	120	4	4	0	ArchersNest	Archers Nest	3	1
1	5	30	30	590	100000	0	0	0	720	207	5	4	0	ArchersNest	Archers Nest	3	1
1	6	35	35	610	225000	0	0	0	1440	293	5	4	0	ArchersNest	Archers Nest	3	1
1	7	42	42	630	450000	0	0	0	2880	509	6	4	0	ArchersNest	Archers Nest	3	1
1	8	48	48	660	900000	0	0	0	4320	587	7	4	0	ArchersNest	Archers Nest	3	1
1	9	56	56	690	1875000	0	0	0	5760	657	8	4	0	ArchersNest	Archers Nest	3	1
