Type	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9
0	2	2	2	2	3	3	5	5	5
1	0	1	1	2	3	3	5	5	5
2	0	0	1	1	1	2	3	3	3
3	0	0	0	1	1	1	2	3	4
4	0	0	0	0	1	2	2	3	4
5	0	0	0	0	0	0	2	3	4
6	0	0	0	0	0	0	0	0	2
7	0	25	50	75	100	125	175	225	250
8	0	2	2	2	4	4	6	6	6
9	0	0	0	2	2	4	4	6	6
10	0	0	0	0	0	1	2	3	4
11	0	0	0	0	2	2	2	4	4
12	0	0	0	0	0	0	1	2	4
13	1	2	3	4	5	6	6	6	6
14	1	2	3	4	5	6	6	6	6
15	0	0	0	0	0	0	0	1	2
16	1	1	2	2	2	2	2	3	4
17	1	1	2	2	2	2	2	3	4
18	0	0	0	0	0	0	1	1	1
19	5	5	5	5	5	5	5	5	5
20	1	2	2	3	3	3	4	4	4
21	0	0	0	0	0	0	1	2	2
22	0	0	0	0	0	0	1	1	1
23	0	0	0	0	0	0	0	0	1
24	1	1	2	2	3	3	4	4	4
25	0	0	1	1	1	1	1	1	1
26	0	0	0	0	1	1	1	1	1
27	1	1	1	1	1	1	1	1	1
28	1	1	1	1	1	1	1	1	1
29	1	2	2	3	3	3	4	4	4
30	1	2	2	3	3	3	4	4	4
1000	4	4	4	4	4	4	4	4	4
1001	2	2	2	2	2	2	2	2	2
1002	1	1	1	1	1	1	1	1	1
1003	1	1	1	1	1	1	1	1	1
1004	1	1	1	1	1	1	1	1	1
1005	1	1	1	1	1	1	1	1	1
1006	1	1	1	1	1	1	1	1	1
1007	1	1	1	1	1	1	1	1	1
1008	1	1	1	1	1	1	1	1	1
1009	1	1	1	1	1	1	1	1	1
1010	1	1	1	1	1	1	1	1	1
1011	1	1	1	1	1	1	1	1	1
1012	1	1	1	1	1	1	1	1	1
1013	1	1	1	1	1	1	1	1	1
1014	1	1	1	1	1	1	1	1	1
1015	1	1	1	1	1	1	1	1	1
1016	1	1	1	1	1	1	1	1	1
1017	1	1	1	1	1	1	1	1	1
1018	1	1	1	1	1	1	1	1	1
1019	1	1	1	1	1	1	1	1	1
