Type	Name	Require Campaign Id to Unlock	Lootable Gold	Lootable Water	Lootable Dark Water	Town Hall Prefab
1	Level 1	0	500	500		1
2	Level 2	1	500	500		0
3	Level 3	2	500	500		0
4	Level 4	3	1000	1000		0
5	Level 5	4	1000	1000		0
6	Level 6	5	1000	1000		0
7	Level 7	6	2000	2000		0
8	Level 8	7	2000	2000		0
9	Level 9	8	2000	2000		0
10	Level 10	9	3000	3000		0
11	Level 11	10	3000	3000		0
12	Level 12	10	3000	3000		0
13	Level 13	12	4000	4000		0
14	Level 14	13	4000	4000		0
15	Level 15	14	4000	4000		0
16	Level 16	15	5000	5000		0
17	Level 17	16	5000	5000		0
18	Level 18	17	5000	5000		0
19	Level 19	18	6000	6000		0
20	Level 20	19	6000	6000		1
21	Level 21	19	6000	6000		1
22	Level 22	21	7000	7000		1
23	Level 23	22	7000	7000		1
24	Level 24	23	10000	10000		1
25	Level 25	24	10000	10000		1
26	Level 26	25	10000	10000		1
27	Level 27	26	15000	15000		1
28	Level 28	27	15000	15000		1
29	Level 29	28	15000	15000		1
30	Level 30	29	20000	20000		1
31	Level 31	30	20000	20000		1
32	Level 32	31	20000	20000		1
33	Level 33	32	30000	30000		1
34	Level 34	33	30000	30000		1
35	Level 35	34	30000	30000		1
36	Level 36	35	50000	50000		1
37	Level 37	36	100000	100000		1
38	Level 38	37	100000	100000		1
39	Level 39	38	100000	100000		1
40	Level 40	39	150000	150000		1
41	Level 41	40	150000	150000		1
42	Level 42	41	150000	150000		1
43	Level 43	42	200000	200000		1
44	Level 44	43	250000	250000		1
45	Level 45	44	300000	300000		1
46	Level 46	45	400000	400000		1
47	Level 47	46	500000	500000		1
48	Level 48	47	600000	600000		1
49	Level 49	48	700000	700000		1
50	Level 50	49	800000	800000		1
