Type name	Type	Removal time	Experience Gained	Removal Cost Gold	Removal Cost Elixir	Respawn Weight	Removal Benefit Elixir	Removal Benefit Dark Elixir	Init Position	Object Type
Mushroom	0	10	3		100	0.10			4,4,34,6,19,14,20,31	7
Bush	1	15	3		250	0.20			15,5,18,8,32,20	7
Trunk	2	30	5		1000	0.10			28,4,32,3,37,5,12,14,9,22	7
Trunk	3	30	5		1000	0.10			4,14,15,35	7
Trunk	4	30	5		1000	0.20			3,25,36,13	7
Tree	5	30	5		2000	0.20			6,24,6,26,12,25,37,19	7
Tree	6	45	6		7500	0.05			11,4,23,4,30,7,4,19,12,31,22,36,27,33,36,28	7
Tree	7	60	7		10000	0.05			31,12,7,33	7
Stone	8	20	4	500					7,28,20,34,31,25	7
Stone	9	20	4	500					4,23,7,22	7
Stone	10	20	4	500					12,23,31,30	7
Stone	11	20	4	500					8,3,20,4,9,9	7
Stone	12	45	6	10000					24,9,12,27,34,23	7
Stone	13	60	7	20000					5,6,9,12,22,13,36,8,9,28,35,34	7
Tombstone	14	0	0	0			20			7
Hero Tombstone	15	0	0	0				5		7
