Prefab name	prefab path	preload	cull above
ShopItem	Prefabs/Screens/UI/Shop/ShopItem	1	10
ShopItemPhone	Prefabs/Screens/UI/Shop/ShopItemPhone	1	10
TreasureGemPhone	Prefabs/Screens/UI/Shop/TreasureGemPhone	1	1
TreasureResourcePhone	Prefabs/Screens/UI/Shop/TreasureResourcePhone	1	1
TreasureGem	Prefabs/Screens/UI/Shop/TreasureGem	1	1
TreasureResource	Prefabs/Screens/UI/Shop/TreasureResource	1	1
UnitTraining	Prefabs/Screens/UI/UnitTraining	1	5
SpellReadyItem	Prefabs/Screens/UI/SpellReadyItem	1	5
TrainingList	Prefabs/Screens/UI/TrainingList	1	1
UpgradeUnitIcon	Prefabs/Screens/UI/UpgradeUnitIcon	1	18
DetailRow	Prefabs/Screens/UI/DetailRow	1	6
InfoBarRow	Prefabs/Screens/UI/InfoBarRow	1	3
EmptyItem	Prefabs/Screens/UI/EmptyItem	1	30
ClanIconPrefab	Prefabs/Screens/UI/ClanIconPrefab	1	30
Tab	Prefabs/Screens/UI/Clans/Tab	1	4
ClanName	Prefabs/Screens/UI/Clans/ClanName	1	1
MyClanRow	Prefabs/Screens/UI/Clans/MyClanRow	1	20
ViewClanRow	Prefabs/Screens/UI/Clans/ViewClanRow	1	20
ClanRow	Prefabs/Screens/UI/Clans/ClanRow	1	50
0TitleBox	Prefabs/Screens/UI/Clans/0TitleBox	1	1
AskToJoinClanArabPrefab	Prefabs/Screens/UI/Clans/AskToJoinClanArabPrefab	1	20
AskToJoinClanPrefab	Prefabs/Screens/UI/Clans/AskToJoinClanPrefab	1	20
RequestTroopArabRow	Prefabs/Screens/UI/Clans/RequestTroopArabRow	1	5
RequestTroopRow	Prefabs/Screens/UI/Clans/RequestTroopRow	1	5
DefaultChatMessagePrefab	Prefabs/Screens/UI/Clans/DefaultChatMessagePrefab	1	1
ChatMessageArabPrefab	Prefabs/Screens/UI/Clans/ChatMessageArabPrefab	1	20
ChatMessagePrefab	Prefabs/Screens/UI/Clans/ChatMessagePrefab	1	20
TopClanRow	Prefabs/Screens/UI/Leaderboard/TopClanRow	1	30
TournamentBox	Prefabs/Screens/UI/Leaderboard/TournamentBox	1	1
LeagueBox	Prefabs/Screens/UI/Leaderboard/LeagueBox	1	1
LeagueRow	Prefabs/Screens/UI/Leaderboard/LeagueRow	1	20
PassedLeagueRow	Prefabs/Screens/UI/Leaderboard/PassedLeagueRow	1	5
CampaignNode	Prefabs/Screens/UI/UICampaign/CampaignNode	1	10
AchievementRow	Prefabs/Screens/UI/AchievementRow	1	5
DefenseInfoRow	Prefabs/Screens/UI/DefenseInfoRow	1	5
